City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
134,Butaritari,3.0707,172.7902,81.91,light rain,0.46,0.0,78,38,17.92,KI
135,Garowe,8.4054,48.4845,81.45,overcast clouds,0.0,0.0,24,89,13.8,SO
136,Talaya,61.3833,152.75,-12.73,overcast clouds,0.0,0.0,99,100,4.07,RU
137,Alofi,-19.0595,-169.9187,71.49,broken clouds,0.0,0.0,100,77,0.0,NU
138,Bratsk,56.1325,101.6142,-10.71,broken clouds,0.0,0.0,100,82,1.74,RU
139,Dikson,73.5069,80.5464,0.61,overcast clouds,0.0,0.0,94,99,20.13,RU
140,Ferrol,43.4832,-8.2369,66.45,clear sky,0.0,0.0,66,6,4.83,ES
141,Anadyr,64.75,177.4833,-8.9,fog,0.0,0.0,84,75,2.24,RU
142,Lavrentiya,65.5833,-171.0,-6.29,clear sky,0.0,0.0,87,3,3.78,RU
143,Bantry,51.6833,-9.45,51.75,clear sky,0.0,0.0,64,6,5.97,IE
144,Myaundzha,63.0494,147.1858,-2.52,overcast clouds,0.0,0.0,96,100,3.44,RU
145,Khash,28.2211,61.2158,55.35,clear sky,0.0,0.0,40,7,7.96,IR
146,Port Lincoln,-34.7333,135.8667,64.83,few clouds,0.0,0.0,84,20,15.77,AU
147,Sao Filipe,14.8961,-24.4956,71.94,overcast clouds,0.0,0.0,69,100,9.04,CV
148,Port Elizabeth,-33.918,25.5701,80.1,few clouds,0.0,0.0,64,20,12.66,ZA
149,Marsabit,2.3284,37.9899,80.64,scattered clouds,0.0,0.0,28,43,11.68,KE
150,Mehamn,71.0357,27.8492,27.52,light snow,0.0,0.12,87,100,8.79,NO
151,Umm Kaddadah,13.6017,26.6876,74.01,overcast clouds,0.0,0.0,9,90,15.7,SD
152,Nyaunglebin,17.95,96.7333,67.44,few clouds,0.0,0.0,51,21,2.57,MM
153,Vardo,70.3705,31.1107,19.6,overcast clouds,0.0,0.0,75,100,8.86,NO
154,Ostrovnoy,68.0531,39.5131,11.3,overcast clouds,0.0,0.0,92,89,15.55,RU
155,Katsuura,35.1333,140.3,42.91,broken clouds,0.0,0.0,87,75,13.27,JP
156,Esperance,-33.8667,121.9,66.04,clear sky,0.0,0.0,73,0,18.99,AU
157,Eregli,37.5133,34.0467,21.7,overcast clouds,0.0,0.0,85,100,1.77,TR
158,Oktyabrskiy,54.4815,53.471,6.66,overcast clouds,0.0,0.0,95,97,3.69,RU
159,Saint-Francois,46.4154,3.9054,39.67,overcast clouds,0.0,0.0,100,100,4.61,FR
160,Majene,-3.5403,118.9707,78.96,overcast clouds,0.0,0.0,82,100,2.42,ID
161,Waipawa,-41.4122,175.5153,62.46,clear sky,0.0,0.0,84,10,6.76,NZ
162,Qaanaaq,77.484,-69.3632,-11.47,broken clouds,0.0,0.0,57,52,8.68,GL
163,Pisco,-13.7,-76.2167,72.01,broken clouds,0.0,0.0,73,75,4.61,PE
164,Chapais,49.7834,-74.8492,-16.82,scattered clouds,0.0,0.0,90,40,2.82,CA
165,Berlevag,70.8578,29.0864,25.16,light snow,0.0,0.27,82,100,10.02,NO
166,Torbay,47.6666,-52.7314,37.27,light rain,0.25,0.0,79,40,21.85,CA
167,Mayo,38.8876,-76.5119,25.41,haze,0.0,0.0,65,40,17.0,US
168,Talnakh,69.4865,88.3972,-2.79,light snow,0.0,0.21,97,100,10.2,RU
169,Mujiayingzi,42.1167,118.7833,14.7,clear sky,0.0,0.0,34,0,3.96,CN
170,Tasiilaq,65.6145,-37.6368,15.96,overcast clouds,0.0,0.0,87,86,4.72,GL
171,Krasnyy Chikoy,50.3643,108.7512,-12.91,overcast clouds,0.0,0.0,100,100,1.79,RU
172,Sorrento,40.626,14.3744,54.27,clear sky,0.0,0.0,55,0,8.99,IT
173,Ahipara,-35.1667,173.1667,59.27,broken clouds,0.0,0.0,88,78,6.11,NZ
174,Sitka,57.0531,-135.33,42.69,moderate rain,1.02,0.0,75,100,18.41,US
